SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,September-14-2021,Single Family Residential,3609 18th Ct,Forest Grove,OR,97116,422000.0,3.0,2.0,"Hillsboro, Forest Grove",1410.0,10890.0,1972.0,109.0,299.0,,Sold,,,https://www.redfin.com/OR/Forest-Grove/3609-18th-Ct-97116/home/26633286,RMLS,21396401.0,N,Y,45.5178739,-123.0839815
PAST SALE,October-21-2021,Single Family Residential,2605 15th Ave,Forest Grove,OR,97116,400000.0,3.0,1.0,"Hillsboro, Forest Grove",1620.0,10454.0,1950.0,72.0,247.0,,Sold,,,https://www.redfin.com/OR/Forest-Grove/2605-15th-Ave-97116/home/26656277,RMLS,21632655.0,N,Y,45.5133056,-123.1008719
PAST SALE,October-26-2021,Single Family Residential,2312 21st Pl,Forest Grove,OR,97116,395000.0,2.0,1.0,"Hillsboro, Forest Grove",816.0,5227.0,1954.0,67.0,484.0,,Sold,,,https://www.redfin.com/OR/Forest-Grove/2312-21st-Pl-97116/home/26699141,RMLS,21320504.0,N,Y,45.5215114,-123.1059235
PAST SALE,August-23-2021,Single Family Residential,3026 22nd Ave,Forest Grove,OR,97116,405000.0,3.0,1.0,"Hillsboro, Forest Grove",1349.0,10454.0,1959.0,131.0,300.0,,Sold,,,https://www.redfin.com/OR/Forest-Grove/3026-22nd-Ave-97116/home/25852007,RMLS,21441870.0,N,Y,45.522169,-123.0934059
PAST SALE,November-19-2021,Single Family Residential,2619 Bourbon St,Forest Grove,OR,97116,454900.0,4.0,2.5,"Hillsboro, Forest Grove",1906.0,3049.0,,43.0,239.0,,Sold,,,https://www.redfin.com/OR/Forest-Grove/2619-Bourbon-St-97116/home/168817588,RMLS,21269135.0,N,Y,45.52797,-123.105641
PAST SALE,October-5-2021,Single Family Residential,1845 Primrose Ln,Forest Grove,OR,97116,440000.0,3.0,2.0,Near FG High School,1492.0,8276.0,1986.0,88.0,295.0,,Sold,,,https://www.redfin.com/OR/Forest-Grove/1845-Primrose-Ln-97116/home/25854860,RMLS,21566417.0,N,Y,45.5327069,-123.1159135
PAST SALE,August-31-2021,Single Family Residential,46402 NW Hillside Rd,Forest Grove,OR,97116,925000.0,3.0,2.0,Hillside,2058.0,87120.0,2016.0,123.0,449.0,,Sold,,,https://www.redfin.com/OR/Forest-Grove/46402-NW-Hillside-Rd-97116/home/166113458,RMLS,21233183.0,N,Y,45.5670422,-123.1545882
PAST SALE,September-13-2021,Single Family Residential,47514 NW Strohmayer Rd,Forest Grove,OR,97116,665000.0,4.0,2.0,Rural,2440.0,73180.0,1920.0,110.0,273.0,,Sold,,,https://www.redfin.com/OR/Forest-Grove/47514-NW-Strohmayer-Rd-97116/home/166272746,RMLS,21191384.0,N,Y,45.6070276,-123.1666513
PAST SALE,July-23-2021,Single Family Residential,2349 26th Ct,Forest Grove,OR,97116,465000.0,3.0,2.5,PACIFIC WOODS,1729.0,,2021.0,162.0,269.0,25.0,Sold,,,https://www.redfin.com/OR/Forest-Grove/2349-26th-Ave-97116/home/174892527,RMLS,21607418.0,N,Y,45.5278206,-123.1044439
PAST SALE,August-3-2021,Single Family Residential,1423 36th Ave,Forest Grove,OR,97116,775000.0,6.0,2.5,"Hillsboro, Forest Grove",3130.0,,2021.0,151.0,248.0,,Sold,,,https://www.redfin.com/OR/Forest-Grove/1423-36th-Ave-97116/home/173973674,RMLS,20544391.0,N,Y,45.5396787,-123.1243717
PAST SALE,September-27-2021,Single Family Residential,2348 26th Ct,Forest Grove,OR,97116,473000.0,3.0,2.5,Pacific Woods,1729.0,,2021.0,96.0,274.0,25.0,Sold,,,https://www.redfin.com/OR/Forest-Grove/2348-26th-Ave-97116/home/175226435,RMLS,21173045.0,N,Y,45.5270079,-123.1049175
PAST SALE,July-12-2021,Single Family Residential,3221 Main St,Forest Grove,OR,97116,463200.0,3.0,2.5,"Hillsboro, Forest Grove",2346.0,9583.0,2004.0,173.0,197.0,,Sold,,,https://www.redfin.com/OR/Forest-Grove/3221-Main-St-97116/home/26642811,RMLS,21349734.0,N,Y,45.5342683,-123.111188
PAST SALE,September-3-2021,Single Family Residential,1803 Douglas St,Forest Grove,OR,97116,445000.0,4.0,2.0,"Hillsboro, Forest Grove",1991.0,8712.0,1900.0,120.0,224.0,,Sold,,,https://www.redfin.com/OR/Forest-Grove/1803-Douglas-St-97116/home/26718489,RMLS,21501711.0,N,Y,45.5172648,-123.1045335
PAST SALE,,Single Family Residential,1106 Stonewall Ave,Forest Grove,OR,97116,528700.0,4.0,3.0,,2689.0,5227.0,2013.0,,197.0,,,,,https://www.redfin.com/OR/Forest-Grove/1106-Stonewall-Ave-97116/home/26737872,,,N,Y,45.5258003,-123.1280485
PAST SALE,,Single Family Residential,3331 Oakcrest Dr,Forest Grove,OR,97116,455200.0,3.0,2.0,,1480.0,3920.0,2004.0,,308.0,,,,,https://www.redfin.com/OR/Forest-Grove/3331-Oakcrest-Dr-97116/home/26703313,,,N,Y,45.5360086,-123.1306377
PAST SALE,November-9-2021,Single Family Residential,1117 Nichols Ln,Forest Grove,OR,97116,563000.0,4.0,2.5,Heritage Park Lots,2436.0,,2021.0,53.0,231.0,,Sold,,,https://www.redfin.com/OR/Forest-Grove/1117-Nichols-Ln-97116/home/26601350,RMLS,21259850.0,N,Y,45.5338459,-123.12751
PAST SALE,November-12-2021,Single Family Residential,2526 Bryce Ave,Forest Grove,OR,97116,520000.0,3.0,2.0,COOK VILLAGE,1892.0,5227.0,2007.0,50.0,275.0,7.0,Sold,,,https://www.redfin.com/OR/Forest-Grove/2526-Bryce-Ave-97116/home/25796587,RMLS,21165669.0,N,Y,45.5313453,-123.1035828
